State,State.ANSI,County,YEAR,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,ACCUM_SOLAR_RAD_01,ACCUM_SOLAR_RAD_02,ACCUM_SOLAR_RAD_03,ACCUM_SOLAR_RAD_04,ACCUM_SOLAR_RAD_05,ACCUM_SOLAR_RAD_06,ACCUM_SOLAR_RAD_07,ACCUM_SOLAR_RAD_08,ACCUM_SOLAR_RAD_09,ACCUM_SOLAR_RAD_10,ACCUM_SOLAR_RAD_11,ACCUM_SOLAR_RAD_12,ETR_01,ETR_02,ETR_03,ETR_04,ETR_05,ETR_06,ETR_07,ETR_08,ETR_09,ETR_10,ETR_11,ETR_12,PRECIP_01,PRECIP_02,PRECIP_03,PRECIP_04,PRECIP_05,PRECIP_06,PRECIP_07,PRECIP_08,PRECIP_09,PRECIP_10,PRECIP_11,PRECIP_12,DRY_DAYS_01,DRY_DAYS_02,DRY_DAYS_03,DRY_DAYS_04,DRY_DAYS_05,DRY_DAYS_06,DRY_DAYS_07,DRY_DAYS_08,DRY_DAYS_09,DRY_DAYS_10,DRY_DAYS_11,DRY_DAYS_12,TMAX_01,TMAX_02,TMAX_03,TMAX_04,TMAX_05,TMAX_06,TMAX_07,TMAX_08,TMAX_09,TMAX_10,TMAX_11,TMAX_12,TMIN_01,TMIN_02,TMIN_03,TMIN_04,TMIN_05,TMIN_06,TMIN_07,TMIN_08,TMIN_09,TMIN_10,TMIN_11,TMIN_12,RH_MIN_01,RH_MIN_02,RH_MIN_03,RH_MIN_04,RH_MIN_05,RH_MIN_06,RH_MIN_07,RH_MIN_08,RH_MIN_09,RH_MIN_10,RH_MIN_11,RH_MIN_12,RH_MAX_01,RH_MAX_02,RH_MAX_03,RH_MAX_04,RH_MAX_05,RH_MAX_06,RH_MAX_07,RH_MAX_08,RH_MAX_09,RH_MAX_10,RH_MAX_11,RH_MAX_12,SPEC_HUM_01,SPEC_HUM_02,SPEC_HUM_03,SPEC_HUM_04,SPEC_HUM_05,SPEC_HUM_06,SPEC_HUM_07,SPEC_HUM_08,SPEC_HUM_09,SPEC_HUM_10,SPEC_HUM_11,SPEC_HUM_12,VPD_MEAN_01,VPD_MEAN_02,VPD_MEAN_03,VPD_MEAN_04,VPD_MEAN_05,VPD_MEAN_06,VPD_MEAN_07,VPD_MEAN_08,VPD_MEAN_09,VPD_MEAN_10,VPD_MEAN_11,VPD_MEAN_12,WIND_SPEED_01,WIND_SPEED_02,WIND_SPEED_03,WIND_SPEED_04,WIND_SPEED_05,WIND_SPEED_06,WIND_SPEED_07,WIND_SPEED_08,WIND_SPEED_09,WIND_SPEED_10,WIND_SPEED_11,WIND_SPEED_12,SOLAR_RAD_01,SOLAR_RAD_02,SOLAR_RAD_03,SOLAR_RAD_04,SOLAR_RAD_05,SOLAR_RAD_06,SOLAR_RAD_07,SOLAR_RAD_08,SOLAR_RAD_09,SOLAR_RAD_10,SOLAR_RAD_11,SOLAR_RAD_12,VPD_MIN_01,VPD_MIN_02,VPD_MIN_03,VPD_MIN_04,VPD_MIN_05,VPD_MIN_06,VPD_MIN_07,VPD_MIN_08,VPD_MIN_09,VPD_MIN_10,VPD_MIN_11,VPD_MIN_12,VPD_MAX_01,VPD_MAX_02,VPD_MAX_03,VPD_MAX_04,VPD_MAX_05,VPD_MAX_06,VPD_MAX_07,VPD_MAX_08,VPD_MAX_09,VPD_MAX_10,VPD_MAX_11,VPD_MAX_12,TD_MEAN_01,TD_MEAN_02,TD_MEAN_03,TD_MEAN_04,TD_MEAN_05,TD_MEAN_06,TD_MEAN_07,TD_MEAN_08,TD_MEAN_09,TD_MEAN_10,TD_MEAN_11,TD_MEAN_12,TMEAN_01,TMEAN_02,TMEAN_03,TMEAN_04,TMEAN_05,TMEAN_06,TMEAN_07,TMEAN_08,TMEAN_09,TMEAN_10,TMEAN_11,TMEAN_12,TOTAL_GDD,TOTAL_PRECIP,TOTAL_DRY_DAYS,YIELD
COLORADO,8,BACA,1981,10.8328,72.44946667,74.5652,312.1598667,326.6466667,586.3632,625.4169333,543.4906667,439.3317333,226.996,105.7664,31.1256,300.2591923,372.7327795,494.8250342,669.0915072,770.8478285,812.319529,802.9596672,718.6255488,569.3522458,467.2698854,318.3493018,278.5765248,92.51946667,123.4077333,145.5592,251.2549333,235.3469333,333.9266667,294.944,229.3152,208.9056,158.0072,122.4984,86.71466667,1.513866667,1.9008,47.97653333,22.10053333,67.66133333,21.04026667,99.46773333,69.76133333,30.07013333,15.14026667,19.49013333,6.118666667,26,22,7,18,4,13,3,8,13,17,18,26,11.43133333,14.08428571,14.46863226,25.008,23.77935914,33.51192889,33.34538065,29.7463957,28.06646222,19.83465376,16.20067556,10.31510108,-7.049225806,-6.50747619,-1.001767742,5.802657778,7.294619355,15.57895111,17.00409892,15.31751828,11.22232,4.728055914,-0.099955556,-6.356752688,24.1351914,18.18759048,25.47780645,15.68456,24.90710538,18.69297778,24.1827871,31.96980645,25.69528889,26.48356989,24.24718222,25.92185806,82.23316989,79.2408381,87.87421075,70.92425778,87.39433978,76.14575111,86.69445161,91.26868817,87.55357333,85.03589677,76.12501333,84.6216086,0.002472215,0.002396075,0.003558319,0.004749612,0.006604484,0.009073185,0.011245197,0.011198317,0.008369694,0.005405157,0.003492344,0.00257678,0.536036129,0.767066667,0.643844301,1.44976,1.106074839,2.270141333,1.978787957,1.42944172,1.426430222,0.886301075,0.774576889,0.506923011,3.463690323,3.969095238,4.679217204,4.644257778,5.101109677,4.665342222,4.136111828,3.576851613,3.86056,4.522916129,4.182613333,3.560025806,112.1039398,154.0727429,184.7465032,258.1371556,287.8016086,313.39488,299.7907957,268.304043,219.6575022,174.4585892,122.8199467,104.0085591,0.086935484,0.125821429,0.108548387,0.257633333,0.148580645,0.469666667,0.35816129,0.188516129,0.205566667,0.153870968,0.131766667,0.095677419,1.067774194,1.433892857,1.200225806,2.488633333,2.122387097,4.047866667,3.755806452,2.825483871,2.728733333,1.793516129,1.381833333,0.975967742,-8.458781361,-9.660714283,-2.462365589,0.314814817,5.632616489,9.75,13.69175627,14.17562724,9.459259261,3.240143367,-2.425925928,-7.498207883,2.191053763,3.788404762,6.733432258,15.40532889,15.53698925,24.54544,25.17473978,22.53195699,19.64439111,12.28135484,8.05036,1.979174194,3355.144533,402.2416,175,8.65
COLORADO,8,BACA,1982,15.1428,49.1444,92.86426667,183.8652,346.5588,448.0526667,600.2328,607.0177333,436.0226667,222.5365333,46.82533333,18.58333333,304.3647821,375.0451661,518.8022784,670.1209114,771.5616998,793.2661171,791.5448909,743.6544538,562.6170547,466.8786432,319.8271795,256.8845261,99.7224,87.45733333,163.4458667,224.8021333,235.0541333,248.9933333,298.1392,253.292,216.7381333,177.2018667,106.6616,79.2368,0.829866667,12.84133333,16.88053333,18.4104,65.80773333,80.3128,111.7856,32.14293333,31.58266667,29.0192,7.105066667,19.93546667,26,13,13,18,6,8,12,11,12,20,23,23,9.62163871,8.097790476,15.30014194,20.02175111,24.06089032,27.74882667,32.53373333,32.2752129,27.72834667,20.77010323,13.08397333,8.284313978,-8.75608172,-8.196095238,-1.997277419,2.104684444,8.297741935,12.12135111,16.19096344,16.88722151,11.33983111,3.54895914,-4.231937778,-6.756787097,23.44731183,29.98942857,21.26328602,14.82338667,23.83619785,27.74105778,23.95935484,29.24452473,25.4132,22.55051183,23.26828444,32.90947097,87.38338065,87.01147619,78.75390968,65.11192889,88.32287312,93.69315556,84.03807312,91.18956559,86.14029333,80.71583656,83.18443556,83.84516129,0.002217437,0.002393314,0.003137852,0.003322788,0.006741738,0.009233955,0.01059876,0.012083106,0.008487147,0.00457071,0.003017515,0.002562621,0.498670108,0.516462857,0.752978925,1.121329778,1.143860645,1.322247111,1.937688602,1.693530323,1.400274667,1.032902366,0.598716444,0.438595269,4.244980645,3.682,4.897032258,4.957937778,4.490193548,4.590026667,4.13323871,3.730589247,4.323297778,4.267544086,4.037564444,4.099621505,113.6367914,155.0285905,193.6985806,258.5343022,288.0681376,306.0440267,295.5290065,277.6487656,217.0590489,174.3125161,123.3901156,95.90969462,0.081935484,0.104035714,0.130612903,0.251266667,0.189516129,0.221833333,0.431548387,0.288,0.2697,0.227419355,0.099533333,0.097870968,0.920612903,0.911107143,1.385,1.976866667,2.150290323,2.401,3.623967742,3.371516129,2.975333333,1.90616129,1.177666667,0.904806452,-9.811827956,-10.01785714,-5.267025089,-4.524074072,6.008960572,10.03148148,12.81899642,14.65770609,9.131481483,0.525089606,-5.172222222,-7.790322583,0.432778495,-0.049152381,6.651432258,11.06321778,16.17931613,19.93508889,24.36234839,24.5812172,19.53408889,12.15953118,4.426017778,0.763763441,3066.846533,426.6536,185,8.4
COLORADO,8,BACA,1983,15.37,25.05813333,78.7356,129.6064,271.0493333,468.7592,647.9238667,656.3953333,482.1378667,262.0104,96.96866667,4.0996,302.6434867,369.5520384,475.5287117,651.65184,742.6640333,798.031296,846.3472128,756.671639,595.5613056,471.1322419,323.955625,261.3340339,69.58453333,75.73413333,115.1448,167.516,211.4933333,262.6386667,353.4661333,304.232,271.3562667,162.9085333,108.0024,57.0552,18.09573333,17.82533333,34.6184,33.67146667,60.32666667,55.14933333,16.09893333,21.04906667,12.78426667,13.30906667,19.27973333,13.8528,19,16,9,15,8,7,14,9,17,15,18,14,8.036262366,9.333257143,11.98050323,15.75942222,21.78344516,29.25039111,34.83664946,35.29264946,30.40754667,22.1159957,13.77441778,0.973105376,-5.707058065,-4.076466667,-1.393062366,0.146942222,5.703608602,12.00022222,16.96489032,17.05543656,11.73497778,4.787901075,-2.667146667,-12.32017634,40.99788387,38.64614286,32.48272688,23.96276444,23.84088602,26.29401778,20.43187097,21.41027097,19.53784889,22.78223656,27.27988444,39.81305806,91.76955699,93.3366381,86.38296774,80.79117333,85.00476559,93.07129778,76.11930323,82.81547527,76.55793778,84.10747527,85.49466667,90.15733333,0.003018206,0.003366354,0.003719314,0.003761576,0.005881898,0.009149483,0.010189391,0.010937621,0.00758478,0.005523276,0.003495428,0.001865331,0.350898925,0.388773333,0.53096086,0.767730667,1.002324301,1.527222222,2.340883441,2.307218065,1.890863111,1.030590108,0.658083556,0.277231828,3.72812043,3.962495238,4.576129032,4.76792,4.522055914,4.217671111,4.849651613,3.866494624,4.800631111,3.801204301,4.300284444,3.645668817,112.9941333,152.7579524,177.5420817,251.4088889,277.2789849,307.8824444,315.9898495,282.5088258,229.7690222,175.900628,124.98288,97.57095054,0.066741936,0.074392857,0.115483871,0.1471,0.167483871,0.244366667,0.542483871,0.473645161,0.4076,0.182548387,0.123466667,0.056580645,0.657322581,0.694607143,1.054064516,1.4725,2.021290323,2.8408,4.381967742,4.546387097,3.4833,1.96283871,1.269133333,0.460483871,-5.83512545,-4.27579365,-3.109318994,-2.74814815,3.71326165,9.629629628,11.64157706,12.95878136,7.618518517,2.922939067,-2.885185183,-12.45340502,1.164602151,2.628395238,5.29372043,7.953182222,13.74352688,20.62530667,25.90076989,26.17404301,21.07126222,13.45194839,5.553635556,-5.673535484,3138.1144,316.0608,161,5.68
COLORADO,8,BACA,1984,7.1484,11.95053333,40.53346667,114.8412,378.5817333,515.2913333,611.8821333,598.4397333,403.4361333,181.8597333,68.1864,35.63466667,307.8145382,373.5017626,488.2819968,622.1352499,781.210391,806.2558157,820.594967,742.5877709,569.4110208,411.2390938,324.5100134,279.2650982,67.76773333,105.8557333,119.1242667,176.2989333,252.3184,285.9741333,303.9418667,258.7448,235.6306667,121.0608,121.7437333,85.19866667,8.898933333,17.976,49.1568,63.51573333,62.09546667,32.02186667,53.7656,37.8528,19.38346667,72.34426667,3.412533333,16.2464,23,16,11,15,16,8,6,7,19,8,26,22,6.054051613,11.44857471,12.23334624,16.382,25.23256344,30.97930667,33.43164301,32.70709247,26.67682667,17.29984946,14.64796444,9.606782796,-10.02294624,-5.654735632,-3.322275269,0.691804444,9.192064516,13.37344889,16.04462366,15.90192258,9.897937778,3.893363441,-1.978728889,-4.5196,33.57476129,23.10731034,28.12909247,24.00128,25.42411183,22.68035556,24.29455484,26.06096344,24.04807111,36.32388817,22.99512889,34.98289032,93.97532903,80.53409655,87.6676129,77.97696889,81.71869247,88.98403556,87.27043441,90.53185376,74.37326222,92.35987097,75.56264889,85.30356129,0.002360684,0.00251972,0.003342712,0.003733319,0.006872537,0.009611866,0.010880561,0.011303953,0.006803174,0.005777044,0.003076607,0.003005169,0.344589247,0.551913563,0.520067957,0.770539556,1.293696344,1.694372444,1.978142796,1.806301075,1.579767111,0.657859785,0.705137778,0.445755699,3.721410753,4.528091954,4.679784946,5.59112,4.729195699,4.763351111,4.070933333,3.668929032,4.442951111,4.122374194,4.267964444,4.191372043,114.9247828,149.0667954,182.3036129,240.0213156,291.6705462,311.0554844,306.3750624,277.2505118,219.6801778,153.5390882,125.1967644,104.265643,0.075225807,0.13462069,0.098419355,0.1578,0.272225807,0.3562,0.410548387,0.355064516,0.400466667,0.100967742,0.1409,0.085419355,0.656032258,1.062482759,1.049193548,1.351466667,2.144870968,3.404633333,3.828612903,3.504806452,3.087633333,1.382290323,1.336766667,0.837870968,-9.123655917,-8.360153256,-4.788530467,-2.829629628,5.783154122,9.920370372,12.61469534,13.80286738,6.238888889,3.331541217,-4.416666667,-5.806451611,-1.984447312,2.89691954,4.455535484,8.536902222,17.21231398,22.17637778,24.73813333,24.30450753,18.28738222,10.59660645,6.334617778,2.543591398,2967.785467,436.6698667,177,6.18
COLORADO,8,BACA,1985,0.7264,23.42853333,95.232,252.9008,404.5057333,527.9232,623.1410667,595.1605333,382.2853333,217.4494667,42.51813333,6.440933333,269.5903027,375.0738739,508.8076646,640.2495283,792.2311373,804.9024691,819.0592819,770.9083315,548.7720653,474.2362368,322.0821274,279.1809331,59.4848,86.88906667,163.4906667,208.8816,243.732,291.0674667,303.3909333,295.3752,210.7677333,149.0245333,80.8816,70.80346667,11.99253333,9.444,20.84266667,48.64373333,47.0448,18.2808,81.17013333,49.34186667,75.19226667,38.7424,11.4656,3.7776,20,19,21,8,10,6,6,18,6,18,17,21,4.280752688,8.953161905,15.63777634,21.98344889,26.36667957,31.66509333,33.82488172,32.80206882,25.36104,20.35345806,9.934897778,7.529002151,-9.053939785,-7.252695238,-0.927995699,4.876604444,9.730464516,13.52978667,16.37776774,15.59538495,9.626204444,3.675539785,-4.293555556,-7.985372043,36.09538925,31.3045619,21.33302366,19.82512889,23.88194409,19.97822222,19.93277419,23.03644731,24.94780444,27.76128172,36.32838222,35.08409462,89.22824086,88.39095238,78.55941505,74.08234667,83.26497204,78.57923556,77.20454194,81.4523957,82.64607111,86.01101935,87.06365333,89.68512688,0.002280663,0.002552206,0.003357448,0.004708061,0.007096354,0.008350312,0.009631944,0.009903732,0.007344339,0.005437888,0.003208756,0.00245975,0.286652903,0.472830476,0.748475699,1.137972444,1.377699785,2.016330667,2.256180645,2.007911398,1.346996444,0.851907957,0.449989333,0.394068817,3.638486022,3.67152381,4.994124731,4.301093333,3.888722581,4.03568,3.607131183,4.188283871,4.622204444,3.901737634,3.781617778,3.419509677,100.6534882,155.0404571,189.9670194,247.0098489,295.7852215,310.53336,305.8017032,287.8241978,211.7176178,177.0595269,124.26008,104.2342194,0.073290323,0.07325,0.142129032,0.2611,0.251,0.396966667,0.544516129,0.354225807,0.3091,0.106225807,0.0766,0.065516129,0.592612903,0.787035714,1.446225806,2.049033333,2.457548387,3.6818,4.131225806,3.65316129,2.762066667,1.748483871,0.9214,0.711258065,-8.879928317,-8.367063494,-3.793906811,0.346296294,6.53046595,9.024074072,10.5609319,11.96415771,7.057407406,2.793906811,-4.422222222,-8.810035844,-2.386593548,0.850233333,7.354890323,13.43002667,18.04857204,22.59744,25.10132473,24.19872688,17.49362222,12.01449892,2.820671111,-0.228184946,3171.712133,415.9384,170,8.4
COLORADO,8,BACA,1986,56.324,72.5796,178.4350667,255.1534667,368.2018667,526.8266667,626.9470667,562.8034667,428.7632,215.9998667,48.52066667,0,316.2573619,372.4671514,528.1842586,646.7118797,778.794624,771.7353293,827.1460454,744.1449293,583.3823616,444.351721,300.2741914,267.1907558,129.7642667,101.0802667,186.5730667,228.4018667,264.9362667,254.7469333,325.66,253.8784,224.8610667,135.2213333,99.91626667,52.0136,1.0472,7.234133333,11.8456,19.69333333,24.6136,97.732,83.5624,95.90933333,33.56773333,57.98213333,37.34986667,8.7512,28,18,19,16,12,6,10,7,11,12,18,23,15.51664086,11.76089524,19.82975054,22.71034667,25.56421935,30.08134222,33.65340645,30.7219914,27.24341333,19.3104129,12.65095111,7.573492473,-4.655763441,-5.265714286,1.274455914,4.299884444,8.190739785,15.04043556,16.7947914,15.58790968,11.3408,4.224107527,-3.211546667,-6.112202151,19.32713978,29.74097143,17.45064946,17.63203556,18.61809892,28.34065778,22.15788387,27.64019785,26.81061333,30.48947097,30.83193778,38.8100129,80.04006882,83.67115238,77.21231828,77.35541333,77.16675269,88.68880889,79.85773763,88.37822796,85.4816,87.58552258,82.89908444,92.52155699,0.002542884,0.00297105,0.003622359,0.004524566,0.005752433,0.010503591,0.010135836,0.010880022,0.008289016,0.005717249,0.003250257,0.002978015,0.789767742,0.619097143,1.054654624,1.218512,1.428645161,1.574168889,2.164153978,1.605310968,1.351725333,0.775267957,0.560144889,0.305017634,3.677849462,3.634428571,4.198580645,4.705511111,4.533410753,4.073395556,4.511870968,4.065221505,4.722755556,4.050615054,4.143591111,2.98332043,118.076972,153.9629429,197.2014108,249.50304,290.7686022,297.7373956,308.8209548,277.8318882,225.0703556,165.9019269,115.8465244,99.7576,0.123870968,0.116178571,0.153096774,0.222633333,0.266935484,0.238066667,0.445645161,0.260064516,0.2088,0.119548387,0.080166667,0.043709677,1.488741935,1.204785714,1.830290323,2.240666667,2.57616129,2.812466667,3.94,3.269096774,2.6021,1.555225806,1.1213,0.643193548,-8.8172043,-6.386904761,-3.6218638,-0.314814817,3.442652328,12.40185185,12.14157706,13.46415771,9.446296294,3.535842294,-3.677777778,-5.6344086,5.43043871,3.247590476,10.55210323,13.50511556,16.87747957,22.56088889,25.22409892,23.15495054,19.29210667,11.76726022,4.719702222,0.730645161,3340.554933,479.2885333,180,9.26
COLORADO,8,BACA,1987,22.51373333,30.22213333,64.26226667,216.1749333,376.9928,515.7578667,627.5592,559.4169333,405.9062667,232.8824,77.0124,30.35226667,290.1437107,349.5090586,488.8484122,654.0958541,728.6388941,806.1962573,858.2494464,719.4202445,585.9822643,486.8925005,321.1414963,265.1029632,81.67093333,81.17813333,130.2013333,215.36,212.4685333,269.2197333,363.9216,257.6805333,190.7392,167.2898667,103.8349333,70.96826667,14.50133333,35.78933333,24.84293333,16.86346667,105.2408,66.8192,26.6776,59.21573333,67.91706667,1.093333333,16.79226667,18.32666667,18,13,13,19,7,8,13,9,9,27,18,19,8.036546237,10.35052381,13.03036129,21.10689778,24.8167871,30.52453333,33.99701075,30.87051613,26.89733333,22.02956989,13.38720889,7.155419355,-6.638189247,-2.566638095,-2.854877419,2.821031111,9.505329032,13.85932444,16.49067957,15.22089892,10.16308444,2.987746237,-2.773324444,-7.262843011,34.41393548,32.3828381,28.38806022,19.33766222,28.49683441,24.89378667,20.66566022,26.92430108,25.01488,19.96148817,27.25065778,36.17812473,87.63980215,86.31082857,85.88298495,73.82953778,89.26346667,89.36491556,79.30123871,85.13869247,89.27056889,78.43690323,87.29815111,87.06323441,0.002652081,0.00341277,0.003355875,0.004031431,0.007952932,0.009846793,0.009847538,0.010470296,0.007897764,0.004418029,0.003446573,0.002636265,0.411488172,0.432307619,0.585268817,1.177918222,1.081672258,1.631006222,2.245624086,1.700756129,1.304224889,1.130950538,0.612672,0.398534194,4.074847312,4.189885714,5.020326882,4.691182222,4.400877419,4.291964444,5.30671828,3.981135484,3.334782222,3.431156989,3.998328889,3.80227957,108.3272516,144.4729905,182.5150882,252.3517956,272.0425978,311.0325067,320.4336344,268.6007484,226.0734044,181.7848344,123.8971822,98.97810753,0.081096774,0.102035714,0.081967742,0.2155,0.123032258,0.2174,0.406225807,0.291709677,0.171466667,0.163612903,0.0912,0.100225807,0.810032258,0.896857143,1.101290323,2.1086,2.147548387,3.1839,3.822774194,3.432451613,2.637266667,2.171516129,1.194866667,0.782741936,-7.607526883,-3.857142856,-4.181003583,-1.637037039,8.258064517,11.43703704,12.00896057,12.6344086,8.535185183,-0.0734767,-3.081481483,-7.489247311,0.699178495,3.891942857,5.087741935,11.96396444,17.16105806,22.19192889,25.24384516,23.04570753,18.53020889,12.50865806,5.306942222,-0.053711828,3159.0532,454.0797333,173,10.25
COLORADO,8,BACA,1988,8.7988,26.4624,81.716,189.4930667,359.2925333,556.674,610.8352,607.3572,391.3630667,246.2789333,90.32906667,12.63293333,304.9374413,397.2880282,507.9768883,646.3387238,746.0154778,796.4883994,836.1037901,732.9172838,548.109527,481.7622989,318.7888589,280.2949171,63.3104,98.1952,161.78,194.9248,263.4525333,290.7096,303.6418667,295.6605333,213.6096,161.1909333,127.9256,100.4522667,14.03626667,2.633333333,11.61386667,63.71173333,89.7896,62.9584,41.19253333,29.33333333,100.2450667,3.4064,7.235466667,2.2448,20,21,19,19,7,9,9,4,17,25,25,26,4.296554839,10.46769195,14.35386237,20.06832889,24.78673118,32.08336,33.58175054,33.09343226,26.19316444,21.93635699,15.04468444,10.7347828,-9.832348387,-6.153806897,-3.655496774,2.048764444,8.393432258,15.02824,15.82697204,16.09090323,9.897706667,3.952606452,-1.974746667,-7.011015054,36.97409032,28.87707586,19.56289892,22.38235556,22.22528172,24.14544,22.88410323,23.59757419,23.91507556,24.28875699,21.13912889,22.23976774,89.45277419,86.9538023,76.73938065,77.37616,81.39184516,85.51765333,89.30685591,88.00407742,79.43647111,81.09308387,73.72506667,82.63930323,0.002166761,0.0026936,0.002670246,0.004082911,0.006348351,0.009996676,0.0108494,0.010770773,0.007152655,0.005038462,0.002972348,0.002314662,0.309409892,0.501571494,0.770979785,1.025769778,1.307171613,1.890971556,2.006310538,1.964289032,1.366903111,1.051277419,0.769547556,0.534896344,3.817780645,4.027954023,4.764301075,4.442275556,5.842288172,4.463662222,4.147372043,4.577608602,4.168284444,3.586744086,4.17128,4.037780645,113.8505978,158.5600368,189.656843,249.3590756,278.530271,307.2871911,312.1653935,273.6399656,211.4620089,179.8694366,122.9895289,104.6501333,0.075870968,0.104448276,0.150967742,0.179533333,0.231129032,0.4222,0.278548387,0.331129032,0.262366667,0.155612903,0.186966667,0.118290323,0.603645161,0.955586207,1.503935484,1.8654,2.418419355,3.590166667,4.013096774,3.924709677,2.672333333,2.048419355,1.4911,1.056096774,-9.987455194,-7.618773944,-7.485663083,-1.594444444,5.168458783,10.6,12.97311828,12.99641577,7.368518517,1.930107528,-5.061111111,-9.326164872,-2.767896774,2.156942529,5.349182796,11.05854667,16.59008172,23.5558,24.70436129,24.59216774,18.04543556,12.94448172,6.534968889,1.861883871,3181.2332,428.4008,201,5.93
COLORADO,8,BACA,1989,23.00226667,13.0832,170.6301333,253.1074667,400.7202667,434.7885333,587.5281333,559.5801333,381.9097333,245.6834667,93.74133333,11.94413333,308.7108403,356.4315187,539.9227699,647.3661005,798.4716134,774.053015,830.5041254,734.6865254,571.2488064,455.7374438,333.6576077,264.4717594,110.8581333,64.80986667,194.5997333,226.4386667,262.7008,241.5253333,302.0776,253.5984,207.5090667,179.7853333,140.3314667,70.93573333,7.490933333,5.399733333,4.605866667,16.86986667,81.7416,144.5898667,45.77653333,76.8928,58.00533333,6.822666667,0.301866667,6.055733333,24,17,26,17,13,5,15,4,16,25,28,25,12.16415054,3.999695238,19.44186237,22.39652444,25.94940645,26.73076444,32.03972043,30.66230968,25.80504,22.19776774,16.72859556,6.165122581,-6.791324731,-9.74092381,-1.975015054,3.617893333,9.903513978,12.25513778,15.86532043,15.43963441,9.655608889,2.873647312,-3.375324444,-10.32735914,20.60049892,33.17031429,17.04122151,15.55999111,20.28507527,31.68727111,24.39574194,28.28254624,29.33745778,19.32949677,16.18260444,29.83627527,77.88911828,85.15148571,74.15286882,74.00141333,82.26182366,91.29470222,83.11341935,91.70390538,83.70123556,73.72972043,69.55536,90.14305376,0.00226833,0.002305787,0.003045166,0.003836159,0.006701339,0.009363569,0.010300803,0.011017203,0.007770225,0.00421176,0.002503636,0.002178667,0.61435871,0.337492381,1.107668817,1.367886222,1.420477419,1.226192889,1.864243441,1.550175484,1.288650667,1.229218065,0.899348444,0.384550538,3.777195699,3.536171429,4.527389247,4.039697778,4.693066667,4.780773333,4.370812903,4.219096774,4.374631111,3.791784946,3.81208,3.625625806,115.2594237,147.3344571,201.5840688,249.75544,298.1151484,298.6315644,310.0747183,274.3005247,220.3892,170.1528688,128.7259289,98.74244301,0.078967742,0.031892857,0.14183871,0.258433333,0.211612903,0.185733333,0.295032258,0.150774194,0.2052,0.212354839,0.157266667,0.063096774,1.083935484,0.691571429,1.949483871,2.490866667,2.489677419,2.276766667,3.359741935,2.820774194,2.4742,2.454548387,1.649133333,0.779548387,-9.401433694,-9.210317461,-5.673835128,-2.140740739,5.917562722,10.46481482,12.39426523,14.12903226,7.833333333,-0.614695339,-7.740740739,-10.31003584,2.686412903,-2.870614286,8.733423656,13.00720889,17.92646022,19.49295111,23.95252043,23.05097204,17.73032444,12.53570753,6.676635556,-2.08111828,3175.7188,454.5528,215,7.16
COLORADO,8,BACA,1990,16.23493333,13.85186667,80.0232,200.5676,324.4613333,592.3369333,567.4982667,564.99,466.5333333,236.1184,112.9344,7.8344,310.1032627,355.0314931,492.7428403,661.6553242,778.0075315,833.095273,809.8679808,756.297815,564.9961882,466.8546586,314.5690368,275.6466662,89.03706667,74.44506667,127.0106667,192.8874667,249.5418667,356.3661333,283.6781333,264.2384,206.3066667,175.3453333,128.9437333,73.87493333,27.8656,33.01413333,18.548,30.33626667,79.82986667,24.9112,117.7296,33.6136,63.81493333,10.52693333,26.94666667,8.688,26,15,19,11,16,18,7,13,14,23,25,18,9.332735484,7.63527619,13.98372903,20.43440889,23.82095054,34.25779556,31.16814194,31.43455914,28.50536889,21.8344043,16.43668444,5.61695914,-7.285483871,-6.033438095,-1.548735484,2.753964444,6.937354839,15.23133333,15.44464946,15.0164086,12.59685333,3.32852043,-1.5024,-10.89927312,32.34736344,33.94671429,29.23219785,24.38664889,23.1360172,14.95771556,27.2287914,26.6604043,26.82985778,22.25712688,23.51792889,27.97214624,89.19852903,87.03859048,87.90107527,90.67303111,82.0143828,76.74168,87.53630968,85.97226667,83.73261333,80.92777634,73.75572444,81.11028817,0.00254366,0.002823569,0.003836877,0.005012643,0.005961732,0.008202999,0.010712551,0.010067065,0.008886979,0.004635807,0.003255893,0.001917969,0.457180215,0.37300381,0.589059785,0.928202667,1.25136086,2.484864889,1.701476129,1.778692473,1.481139556,1.108731183,0.822540444,0.400672688,4.076172043,3.894028571,4.208223656,4.591786667,4.881290323,4.798773333,4.20608172,3.886348387,3.803591111,3.968851613,4.062577778,3.618141935,115.7792946,146.7557429,183.9691011,255.2682578,290.4747355,321.4102133,302.3700645,282.3692559,217.9769244,174.3035613,121.3615111,102.9146753,0.086967742,0.065785714,0.082516129,0.095466667,0.168387097,0.474733333,0.319193548,0.244516129,0.266466667,0.158967742,0.136066667,0.077612903,0.882677419,0.76875,1.136193548,1.8436,2.208806452,4.234733333,3.304806452,3.330677419,2.999366667,2.079580645,1.632533333,0.840677419,-8.216845878,-6.490079367,-2.768817206,1.570370372,3.6344086,9.112962961,12.64516129,12.20250896,10.06666667,0.60394265,-3.729629628,-11.40143369,1.023625806,0.800919048,6.217496774,11.59418667,15.37915269,24.74456444,23.3063957,23.22548387,20.55111111,12.58146237,7.467142222,-2.641156989,3183.384667,475.8248,205,8.77
