Year,State,State_ANSI,AG_District,Ag_District_Code,County,County_ANSI,GDD_01,GDD_02,GDD_03,GDD_04,GDD_05,GDD_06,GDD_07,GDD_08,GDD_09,GDD_10,GDD_11,GDD_12,annual_GDD,noppt_01,noppt_02,noppt_03,noppt_04,noppt_05,noppt_06,noppt_07,noppt_08,noppt_09,noppt_10,noppt_11,noppt_12,annual_noppt,total_ppt_01,total_ppt_02,total_ppt_03,total_ppt_04,total_ppt_05,total_ppt_06,total_ppt_07,total_ppt_08,total_ppt_09,total_ppt_10,total_ppt_11,total_ppt_12,annual_ppt,avg_tmin_01,avg_tmin_02,avg_tmin_03,avg_tmin_04,avg_tmin_05,avg_tmin_06,avg_tmin_07,avg_tmin_08,avg_tmin_09,avg_tmin_10,avg_tmin_11,avg_tmin_12,avg_tmean_01,avg_tmean_02,avg_tmean_03,avg_tmean_04,avg_tmean_05,avg_tmean_06,avg_tmean_07,avg_tmean_08,avg_tmean_09,avg_tmean_10,avg_tmean_11,avg_tmean_12,avg_tmax_01,avg_tmax_02,avg_tmax_03,avg_tmax_04,avg_tmax_05,avg_tmax_06,avg_tmax_07,avg_tmax_08,avg_tmax_09,avg_tmax_10,avg_tmax_11,avg_tmax_12,avg_tdmean_01,avg_tdmean_02,avg_tdmean_03,avg_tdmean_04,avg_tdmean_05,avg_tdmean_06,avg_tdmean_07,avg_tdmean_08,avg_tdmean_09,avg_tdmean_10,avg_tdmean_11,avg_tdmean_12,avg_vpdmin_01,avg_vpdmin_02,avg_vpdmin_03,avg_vpdmin_04,avg_vpdmin_05,avg_vpdmin_06,avg_vpdmin_07,avg_vpdmin_08,avg_vpdmin_09,avg_vpdmin_10,avg_vpdmin_11,avg_vpdmin_12,avg_vpdmax_01,avg_vpdmax_02,avg_vpdmax_03,avg_vpdmax_04,avg_vpdmax_05,avg_vpdmax_06,avg_vpdmax_07,avg_vpdmax_08,avg_vpdmax_09,avg_vpdmax_10,avg_vpdmax_11,avg_vpdmax_12,Yield
2015,COLORADO,8,SOUTH CENTRAL,90,BACA,9,54.1,85.4,197.9,349.1,511.6,965.5,1082.7,1053.5,926.9,521.2,135.4,40.7,5924,28,22,28,25,10,24,15,25,26,24,22,29,278,17.27,16.51,9.65,17.78,123.7,41.15,81.53,26.42,34.54,54.86,23.62,14.99,462.02,-6.88,-5.98,-1.95,2.7,7.64,14.96,16.78,15.88,13.2,7,-2.73,-5.68,0.47,1.79,6.81,11.43,14.17,22.88,24.41,23.88,22.17,14.33,4.92,0.73,7.84,9.56,15.57,20.17,20.69,30.8,32.02,31.89,31.13,21.66,12.57,7.14,-6.66,-6.16,-3.43,-0.98,7.68,12.98,13.86,13.95,10.47,6.01,-2.23,-5.89,0.74,0.71,0.97,1.3,0.71,2,2.25,1.66,2.29,1.15,0.65,0.67,8.43,10.47,14.96,19.31,14.68,31.83,34.28,34.29,34.91,17.4,11.11,6.89,11.73
2012,COLORADO,8,SOUTH CENTRAL,90,BACA,9,29.3,23.1,326.3,459,719.8,1062.7,1219.9,1077.6,770.3,371.3,222.3,47.8,6329.4,30,25,29,23,24,23,26,24,24,27,30,26,311,0.51,12.45,25.91,52.07,14.73,27.94,26.16,40.39,53.85,30.23,0,10.41,294.65,-5.19,-5.59,1.03,5.23,9.14,15.91,18.6,15.47,10.01,2.77,-1.48,-6.79,2.47,1.79,10.3,13.44,17.9,24.68,26.86,24.31,19.27,11.29,8.38,1.44,10.14,9.17,19.57,21.64,26.66,33.47,35.13,33.17,28.52,19.81,18.25,9.68,-6.47,-6.92,-5.87,2.28,3.71,7.71,10.67,9.51,4.66,-0.03,-6.61,-9.44,1.01,0.68,2.26,1.57,3,5.61,7.27,4.52,3.67,1.69,2.09,1.26,8.77,8.8,21.04,20.27,29.41,43.6,45.77,41.01,32.45,19.15,18.17,9.77,11.61
2011,COLORADO,8,SOUTH CENTRAL,90,BACA,9,17.7,62.6,158.1,387,601.3,1026.1,1263.9,1214.5,771.6,450.2,130.6,11.8,6095.4,29,26,30,26,28,24,21,22,22,29,26,24,307,5.59,1.27,2.79,8.38,8.38,31.75,26.16,42.42,22.1,14.73,26.16,40.39,230.12,-9.43,-9.56,-2.57,2.64,6.41,14.65,18.44,18.41,10.58,3.63,-1.79,-8.74,-0.6,-0.63,6.68,12.14,15.75,24,27.65,26.77,19.29,12.79,5.99,-2.58,8.24,8.29,15.93,21.63,25.09,33.36,36.86,35.13,28.01,21.97,13.77,3.57,-9.33,-10.78,-6.24,-3.98,-1.98,6.06,11.71,12.76,5.31,-0.73,-4.83,-7.18,0.55,0.8,1.13,2.17,2.88,4.77,5.58,4.23,3.67,2.21,1.5,0.44,8.78,11.19,15.87,23.03,29.02,44.15,50.81,44.8,31.03,22.8,12.62,4.16,9.14
2010,COLORADO,8,SOUTH CENTRAL,90,BACA,9,8.7,0,112.6,377.2,564.7,1007.2,1127.8,1091.4,887.1,489.6,120,43.5,5829.8,30,23,23,23,23,21,17,23,28,30,28,29,298,9.91,20.57,53.34,28.7,27.18,48.51,99.31,96.01,43.43,1.02,2.54,4.06,434.58,-8.32,-6.74,-2.1,3.86,6.83,15.61,17.64,16.51,12.07,4.59,-3.81,-5.29,0.36,-0.92,5.5,11.92,15.12,23.65,25.21,24.56,21.43,13.77,5.69,2.81,9.04,4.92,13.09,19.98,23.41,31.71,32.78,32.61,30.79,22.95,15.18,10.92,-9.21,-6.13,-2.89,0.24,4.45,11.48,14.54,13.25,8.77,1.77,-6.97,-6.54,0.71,0.32,0.71,1.62,1.56,3.24,2.63,2.86,2.61,1.82,1.11,0.96,8.88,5.17,11.61,17.83,22.46,35.64,36.13,36.57,34.77,21.12,14.58,9.93,10.13
2007,COLORADO,8,SOUTH CENTRAL,90,BACA,9,0,4.6,277,259.9,628.4,851.1,1095.4,1167.7,861.7,512.7,197.6,23.2,5879.3,27,24,28,23,24,21,25,24,23,30,29,22,300,9.65,5.84,35.05,50.04,12.45,72.64,32,9.14,26.42,2.54,0.25,28.45,284.47,-11.8,-8.26,0.84,1.39,8.44,13.07,16.43,17.8,12.28,4.64,-2.93,-8.06,-6.26,-2.69,8.79,8.89,16.26,20.76,24.63,25.93,20.96,14.14,6.66,-0.94,-0.72,2.86,16.75,16.39,24.1,28.46,32.82,34.06,29.62,23.63,16.24,6.18,-10.42,-6.49,-0.79,0.29,7.14,10.79,12.74,13.67,9.13,1.03,-8.15,-7.58,0.5,0.44,0.99,0.91,1.4,1.89,3.3,3.63,2.45,2.4,2.25,0.61,2.37,3.5,15.12,14.56,20.89,27.63,37.48,40.72,32.66,24.04,17.27,6.94,12.72
2006,COLORADO,8,SOUTH CENTRAL,90,BACA,9,74.3,37.7,148.2,471.8,733.9,1026.5,1129.9,1010.3,611.3,388.4,156.9,21.7,5810.9,27,28,26,27,21,22,21,19,22,27,29,24,293,6.1,0,25.15,16.51,29.97,60.71,143.26,122.94,33.27,39.12,4.32,111.25,592.6,-5.46,-8.61,-2.91,3.83,9.66,15.24,17.58,16.59,8.44,3.42,-2.42,-6.47,3.86,1.29,5.68,13.6,18.15,24.01,25.25,23.11,16.32,11.87,6.73,-0.08,13.17,11.2,14.27,23.38,26.64,32.79,32.92,29.63,24.19,20.32,15.89,6.31,-9.26,-12.58,-6.57,-3.56,2.44,8.21,12.91,14.82,7.51,2.06,-4.88,-7.47,1.39,1.11,1.53,3.4,3.96,5.52,4.16,2.08,1.36,1.46,1.3,0.78,13.11,12.3,14.11,26.47,30.86,41.26,37.27,26.48,20.7,18.64,15.07,6.89,12.35
2004,COLORADO,8,SOUTH CENTRAL,90,BACA,9,24.5,47.7,233.9,330.3,749.1,860.1,961.3,921.5,811.5,439.4,91.7,36.9,5507.9,30,24,25,21,30,17,21,25,24,25,19,27,288,2.54,6.1,21.34,78.74,0.76,100.33,113.03,38.1,54.1,13.46,49.78,6.35,484.63,-6.66,-7.35,-0.23,2.96,9.29,12.99,15.43,14.02,11.98,4.87,-1.46,-6.29,1.43,0.86,8.7,10.72,18.42,20.93,22.23,21.52,20.03,12.86,4.43,2.21,9.51,9.07,17.64,18.5,27.53,28.87,29.03,29.01,28.08,20.84,10.33,10.73,-8.4,-7.65,-2.51,0.52,2.23,9.44,13.54,11.8,7.58,3.47,-1.62,-7.16,0.94,0.66,1.25,1.48,3.4,2.38,2.14,2.39,3.46,1.28,0.66,0.9,9.26,9.23,16.94,17.02,32.75,29.46,26.17,27.83,29.97,17.74,8.21,10.37,10.5
2003,COLORADO,8,SOUTH CENTRAL,90,BACA,9,49.4,40,167.5,391.7,659.9,778.2,1214.2,1107,705.7,555.1,118.2,50.9,5837.8,29,21,24,24,26,13,25,20,25,30,28,27,292,3.3,9.91,32,35.56,72.9,108.71,23.62,45.47,12.45,0.51,10.16,7.87,362.46,-5.47,-7.13,-1.49,3.76,8.72,12.76,18.04,16.57,9.64,5.36,-3.02,-6.51,2.24,0.27,6.38,12.01,16.83,19.41,26.76,24.84,18.07,14.82,4.8,2.14,9.96,7.68,14.26,20.26,24.92,26.07,35.48,33.1,26.49,24.27,12.61,10.81,-5.97,-7.28,-3.9,-0.91,6.2,11.52,10.92,11.49,6.05,0.08,-4.71,-8.18,0.66,0.68,1.17,1.91,1.47,1.38,6.13,3.95,2.11,2.98,1.04,1.05,9.34,8.17,13.24,19.83,23.98,21.65,46.59,39.52,26.82,26.1,11.45,10.49,9.26
2002,COLORADO,8,SOUTH CENTRAL,90,BACA,9,41,50.8,102.1,424.8,650.5,1077.6,1121.5,1058.9,751.9,307.2,104.2,20.3,5710.8,27,28,31,26,25,23,25,23,24,21,24,28,305,18.8,0,0,8.64,28.19,38.61,76.71,104.14,43.43,36.32,4.06,23.37,382.27,-7.97,-7.53,-6.44,3.01,7.63,16.64,17.33,16.38,11.71,2.74,-2.53,-6.3,0.39,1.24,3.66,12.5,16.66,24.96,25.1,23.98,18.92,9.76,5.05,0.64,8.77,10.02,13.77,22,25.68,33.28,32.89,31.58,26.13,16.79,12.63,7.58,-9.62,-10.52,-10.51,-1.44,2.23,10.23,13.66,12.81,10.04,3.06,-4.66,-6.79,0.84,0.99,1.26,1.8,2.85,5.34,3.17,3.4,1.72,0.71,1.04,0.72,9.65,11.14,14.85,22.88,27.69,41.76,36.09,33.08,22.66,12.83,11.73,7.05,7.78
2001,COLORADO,8,SOUTH CENTRAL,90,BACA,9,10.1,23.6,90.6,419.2,619,922.1,1206.8,1067.6,798.2,436,216.8,34.4,5844.4,26,24,21,27,16,23,19,26,25,29,24,26,286,40.89,12.45,25.4,9.65,99.06,38.1,78.99,31.5,12.45,0.51,15.49,7.11,371.6,-8.96,-6.32,-2.08,3.27,8.65,13.81,18.23,15.94,10.69,3.26,-0.61,-7,-1.52,0.1,4.63,12.76,16.09,22.08,26.63,24.13,19.78,12.74,7.42,1.82,5.91,6.51,11.34,22.24,23.55,30.36,35.02,32.32,28.87,22.22,15.45,10.64,-7.22,-4.09,-1.25,-0.04,8.08,10.21,13.57,11.86,8.13,-0.9,-0.41,-8.99,0.41,0.22,0.34,1.7,1.08,3.37,4.43,3.77,1.97,2.45,0.62,0.94,6.48,5.54,9.08,22.24,19.99,32.52,42.69,36.18,30.87,22.49,12.78,10.57,14.45
2000,COLORADO,8,SOUTH CENTRAL,90,BACA,9,33.9,114.8,118.2,353.2,700.3,877.5,1104.8,1148.6,838.3,454.2,35,4,5782.8,27,29,14,25,26,20,21,25,26,25,28,30,296,8.89,0,89.66,21.08,16.51,28.19,67.82,29.97,10.92,81.53,4.06,1.27,359.9,-6.79,-3.97,-1.44,1.45,8.57,13.42,16.58,16.96,10.1,4.92,-5.45,-9.02,1.81,5.58,5.74,11.05,17.55,21.25,24.8,25.58,20.48,12.95,2.02,-1.02,10.43,15.13,12.91,20.64,26.52,29.08,33.03,34.21,30.87,20.98,9.48,6.97,-8.09,-7.06,-1.09,-0.38,5.09,10.38,13.85,11.84,4.95,4.06,-6.09,-9.08,0.93,1.2,0.44,1.32,2.4,2.55,2.79,4.26,3.77,1.33,0.57,0.59,10.02,15.01,10.23,20.26,28.36,29.09,35.89,41.01,39.17,18.47,8.35,7.5,8.27
1999,COLORADO,8,SOUTH CENTRAL,90,BACA,9,32.4,70.7,128.2,286.1,534.7,839.5,1099.8,1046.5,674.7,389.3,228.9,36.9,5367.7,29,27,23,19,19,23,20,23,22,26,29,29,289,26.42,1.52,48.51,83.82,109.22,16.51,38.1,88.14,44.2,66.55,0.25,2.54,525.78,-6.25,-4.9,-2.54,1.82,7.13,12.48,16.87,15.79,10.16,2.09,-1.53,-6.17,1.79,4.88,5.08,9.92,14.58,20.54,24.71,23.76,17.49,11.88,8.38,2.11,9.84,14.67,12.69,18.01,22.03,28.62,32.56,31.73,24.83,21.66,18.29,10.39,-7.04,-7.58,-3.08,-0.93,6.08,10.62,14.47,14.02,8.07,0.47,-5.22,-7.71,0.64,1.08,0.81,1.28,1.02,1.53,2.79,1.99,1.84,1.27,1.71,0.91,9.56,13.93,11.16,16.74,18.61,28.47,33.84,32.41,22.81,21.3,18.11,9.89,14.57
1998,COLORADO,8,SOUTH CENTRAL,90,BACA,9,17.7,33.6,127,230.8,734.2,889.6,1105.4,971.8,908.8,467,160.1,62.9,5708.9,31,24,25,23,28,27,16,23,28,25,26,24,300,0,10.41,52.32,34.04,31.75,17.78,176.78,78.99,9.4,87.12,33.02,8.13,539.74,-6.22,-3.5,-4.13,0.46,8.77,11.82,17.31,15.17,13.08,5.18,-0.42,-7.67,1.61,3.49,3.46,9.07,18.16,21.47,24.81,22.42,21.83,13.37,7.22,0.25,9.45,10.47,11.04,17.69,27.53,31.13,32.32,29.66,30.58,21.56,14.87,8.17,-6.16,-3.28,-4.66,-2.06,4.96,4.94,14.63,14.59,10.21,3.7,-1.94,-7.44,0.63,0.53,0.78,1.08,2.37,4.14,2.45,1.61,2.3,1.22,1.03,0.6,8.66,8.85,11.07,16.82,30.4,40.11,33.42,25.27,33.1,19.3,13.05,8.85,13.83
1997,COLORADO,8,SOUTH CENTRAL,90,BACA,9,58.2,47,218.3,215.6,596.4,881.6,1115.3,1004.8,808.4,429.1,63.4,2.2,5440.3,28,21,29,19,23,17,20,21,25,26,25,22,276,5.59,19.81,2.54,63.25,15.24,54.1,48.51,115.57,21.59,73.66,5.59,36.07,461.52,-8.83,-5.81,-2.06,-0.75,7.24,13.12,16.2,15.52,12.01,3.52,-3.97,-6.93,-0.62,1.51,7.84,7.09,15.69,21.33,24.99,23.01,19.97,11.79,3.34,-1.5,7.58,8.84,17.76,14.93,24.14,29.53,33.78,30.51,27.92,20.07,10.67,3.92,-9.41,-5.87,-6.64,-1.54,5.33,11.7,11.73,14.67,11.08,3.39,-3.99,-6.34,0.66,0.76,1.72,0.72,1.34,1.56,3.29,1.65,1.48,1.27,0.64,0.6,9.41,8.53,18.19,13.93,22.34,29.58,40.79,28.6,26.82,18.58,9.4,4.34,14.94
1996,COLORADO,8,SOUTH CENTRAL,90,BACA,9,33.6,130.1,100.9,372,752.4,955.4,1036.9,975.3,687.2,429.6,100.3,61.7,5635.4,29,27,26,28,26,13,17,19,20,28,27,29,289,1.27,3.05,8.89,10.41,65.28,56.39,105.41,80.52,74.93,7.37,5.33,4.32,423.17,-10.15,-6.78,-6.07,2.08,9.21,14.41,16.2,15.18,10.28,3.28,-3.6,-8.09,-0.42,2.8,3.5,11.67,18.48,22.69,23.58,22.48,17.73,12.47,4.57,1.19,9.32,12.39,13.07,21.26,27.76,30.99,30.96,29.77,25.16,21.65,12.74,10.48,-10.71,-10.11,-7.96,-4.42,5.01,11.51,14.77,14.9,9.65,1.53,-3.29,-9.11,0.74,1.58,0.91,2.62,2.46,2.24,1.94,1.23,1.07,1.26,0.79,0.96,10.21,13.97,13.49,22.61,31.29,33.23,30.02,26.22,21.48,20.7,11.03,10.83,12.23
1995,COLORADO,8,SOUTH CENTRAL,90,BACA,9,43.3,118.3,210.6,245.9,466.5,802.9,1034.9,1145.2,753.8,416.1,177.1,68.4,5483,27,25,25,21,15,21,18,22,24,30,28,28,284,22.35,4.57,11.18,38.86,93.22,71.12,66.55,23.37,16.76,3.3,1.27,7.62,360.17,-6.4,-3.93,-2.13,0.54,6.49,11.93,14.81,17.02,10.34,2.06,-2.71,-6.49,1.37,5.03,5.77,8.62,13.36,19.87,23.54,25.52,18.89,12.41,6.88,1.63,9.14,14,13.67,16.69,20.23,27.81,32.3,34.04,27.43,22.77,16.46,9.76,-6.72,-5.69,-4.09,-1.84,5.48,9.9,11.57,13.79,8.77,-2.11,-4.34,-8.38,0.77,1.06,1.49,1.57,1.65,3.01,3.02,3.36,1.98,2.09,1.12,1.07,8.91,13.68,14.05,16.05,15.97,27.92,37.22,39.67,29.28,23.76,15.45,10.18,9.51
